"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 12:45:10 GMT 2025","Tue Jun 10 12:45:13 GMT 2025","3187","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplaySameImageForAllProductsForProblemUser","ShouldDisplaySameImageForAllProductsForProblemUser (Edge)","Verifies that when logged in as problem_user, all product images on the inventory page are identical."
"passed","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:45:00 GMT 2025","7020","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser (Edge)","Verifies the full add-to-cart and remove-from-cart flow for a standard user."
"passed","Tue Jun 10 12:45:01 GMT 2025","Tue Jun 10 12:45:05 GMT 2025","4448","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDetectVisualAnomaliesForVisualUser","ShouldDetectVisualAnomaliesForVisualUser (Firefox)","Verifies the visual appearance of the inventory page when logged in as the visual_user, checking for known or unexpected visual discrepancies."
"passed","Tue Jun 10 12:45:00 GMT 2025","Tue Jun 10 12:45:04 GMT 2025","4157","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDetectVisualAnomaliesForVisualUser","ShouldDetectVisualAnomaliesForVisualUser (Edge)","Verifies the visual appearance of the inventory page when logged in as the visual_user, checking for known or unexpected visual discrepancies."
"passed","Tue Jun 10 12:45:29 GMT 2025","Tue Jun 10 12:45:33 GMT 2025","3727","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser (Chrome)","Verifies that the standard user can review and finish the order from the checkout overview page."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","1","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser","Verifies the order completion page details and successful return to inventory with an empty cart."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","5","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDetectVisualAnomaliesForVisualUser","ShouldDetectVisualAnomaliesForVisualUser","Verifies the visual appearance of the inventory page when logged in as the visual_user, checking for known or unexpected visual discrepancies."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","63","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser","Verifies the full add-to-cart and remove-from-cart flow for a standard user."
"passed","Tue Jun 10 12:45:07 GMT 2025","Tue Jun 10 12:45:09 GMT 2025","1905","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplaySameImageForAllProductsForProblemUser","ShouldDisplaySameImageForAllProductsForProblemUser (Chrome)","Verifies that when logged in as problem_user, all product images on the inventory page are identical."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","2","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser","Verifies that the standard user can review and finish the order from the checkout overview page."
"passed","Tue Jun 10 12:45:09 GMT 2025","Tue Jun 10 12:45:11 GMT 2025","1898","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldExhibitExpectedCartErrorsForErrorUser","ShouldExhibitExpectedCartErrorsForErrorUser (Chrome)","Verifies that the error_user encounters specific, expected cart interaction failures that may differ by browser."
"passed","Tue Jun 10 12:45:11 GMT 2025","Tue Jun 10 12:45:18 GMT 2025","6810","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoadInventoryForPerformanceGlitchUser","ShouldLoadInventoryForPerformanceGlitchUser (Chrome)","Verifies that the performance_glitch_user can log in and the inventory page loads, albeit slowly."
"passed","Tue Jun 10 12:45:30 GMT 2025","Tue Jun 10 12:45:37 GMT 2025","7530","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldNotLoginSuccessfullyWithLockedOutUser","ShouldNotLoginSuccessfullyWithLockedOutUser (Edge)","Verifies user login with the locked_out_user, using the Submit action."
"passed","Tue Jun 10 12:45:33 GMT 2025","Tue Jun 10 12:45:36 GMT 2025","3455","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyFillCheckoutInformationForStandardUser","ShouldSuccessfullyFillCheckoutInformationForStandardUser (Chrome)","Verifies that the standard user can complete the first step of checkout (entering personal information)."
"passed","Tue Jun 10 12:45:49 GMT 2025","Tue Jun 10 12:45:54 GMT 2025","5229","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyFillCheckoutInformationForStandardUser","ShouldSuccessfullyFillCheckoutInformationForStandardUser (Firefox)","Verifies that the standard user can complete the first step of checkout (entering personal information)."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","2","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyFillCheckoutInformationForStandardUser","ShouldSuccessfullyFillCheckoutInformationForStandardUser","Verifies that the standard user can complete the first step of checkout (entering personal information)."
"passed","Tue Jun 10 12:45:43 GMT 2025","Tue Jun 10 12:45:49 GMT 2025","5561","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser (Firefox)","Verifies that the standard user can review and finish the order from the checkout overview page."
"passed","Tue Jun 10 12:45:42 GMT 2025","Tue Jun 10 12:45:47 GMT 2025","4672","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyFillCheckoutInformationForStandardUser","ShouldSuccessfullyFillCheckoutInformationForStandardUser (Edge)","Verifies that the standard user can complete the first step of checkout (entering personal information)."
"passed","Tue Jun 10 12:45:13 GMT 2025","Tue Jun 10 12:45:16 GMT 2025","2650","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldExhibitExpectedCartErrorsForErrorUser","ShouldExhibitExpectedCartErrorsForErrorUser (Edge)","Verifies that the error_user encounters specific, expected cart interaction failures that may differ by browser."
"passed","Tue Jun 10 12:45:04 GMT 2025","Tue Jun 10 12:45:10 GMT 2025","5854","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser (Edge)","Verifies the order completion page details and successful return to inventory with an empty cart."
"passed","Tue Jun 10 12:45:02 GMT 2025","Tue Jun 10 12:45:07 GMT 2025","4649","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser (Chrome)","Verifies the order completion page details and successful return to inventory with an empty cart."
"passed","Tue Jun 10 12:45:19 GMT 2025","Tue Jun 10 12:45:28 GMT 2025","8515","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoadInventoryForPerformanceGlitchUser","ShouldLoadInventoryForPerformanceGlitchUser (Firefox)","Verifies that the performance_glitch_user can log in and the inventory page loads, albeit slowly."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","2","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoginSuccessfullyWithStandardUserAndSortProducts","ShouldLoginSuccessfullyWithStandardUserAndSortProducts","Verifies user login with the standard_user, using the Click action and then sorts products by all available options."
"passed","Tue Jun 10 12:45:37 GMT 2025","Tue Jun 10 12:45:42 GMT 2025","4943","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser","ShouldSuccessfullyCompletePurchaseFromOverviewForStandardUser (Edge)","Verifies that the standard user can review and finish the order from the checkout overview page."
"passed","Tue Jun 10 12:45:12 GMT 2025","Tue Jun 10 12:45:15 GMT 2025","3657","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplaySameImageForAllProductsForProblemUser","ShouldDisplaySameImageForAllProductsForProblemUser (Firefox)","Verifies that when logged in as problem_user, all product images on the inventory page are identical."
"passed","Tue Jun 10 12:45:24 GMT 2025","Tue Jun 10 12:45:30 GMT 2025","5591","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoginSuccessfullyWithStandardUserAndSortProducts","ShouldLoginSuccessfullyWithStandardUserAndSortProducts (Edge)","Verifies user login with the standard_user, using the Click action and then sorts products by all available options."
